,0
0,1
1,2
2,2
3,0
4,0
5,3
6,0
7,1
8,0
9,3
10,2
11,1
12,2
13,2
14,2
15,1
16,1
17,0
18,1
19,3
20,1
21,0
22,3
23,0
24,1
25,3
26,2
27,2
28,4
29,3
30,0
31,0
32,1
33,0
34,3
35,0
36,3
37,0
38,3
39,2
40,0
41,2
42,4
43,3
44,2
45,0
46,2
47,0
48,4
49,2
50,2
51,3
52,1
53,4
54,2
55,2
56,2
57,1
58,0
59,0
60,2
61,2
62,2
63,4
64,1
65,4
66,3
67,0
68,1
69,2
70,2
71,0
72,4
73,4
74,1
75,1
76,3
77,3
78,0
79,1
80,3
81,0
82,1
83,0
84,0
85,1
86,1
87,3
88,2
89,2
90,2
91,0
92,1
93,0
94,4
95,0
96,2
97,2
98,2
99,4
100,0
101,0
102,2
103,2
104,0
105,3
106,1
107,1
108,2
109,1
110,1
111,2
112,0
113,3
114,0
115,1
116,1
117,0
118,1
119,0
120,2
121,0
122,1
123,0
124,1
125,0
126,3
127,4
128,0
129,2
130,0
131,1
132,1
133,2
134,2
135,2
136,2
137,4
138,1
139,0
140,1
141,2
142,3
143,2
144,2
145,3
146,2
147,0
148,2
149,2
150,0
151,3
152,2
153,4
154,2
155,0
156,0
157,4
158,3
159,0
160,1
161,2
162,0
163,3
164,1
165,3
166,1
167,2
168,0
169,1
170,4
171,2
172,0
173,3
174,4
175,4
176,1
177,0
178,4
179,0
180,2
181,2
182,4
183,4
184,2
185,2
186,0
187,1
188,3
189,2
190,0
191,2
192,4
193,1
194,0
195,2
196,2
197,0
198,1
199,1
200,2
201,1
202,0
203,0
204,2
205,2
206,2
207,0
208,2
209,3
210,0
211,2
212,2
213,3
214,4
215,1
216,0
217,0
218,0
219,0
220,0
221,2
222,4
223,3
224,1
225,1
226,4
227,3
228,0
229,0
230,4
231,0
232,1
233,2
234,0
235,3
236,2
237,3
238,4
239,1
240,2
241,2
242,3
243,2
244,1
245,2
246,2
247,1
248,3
249,0
250,0
251,0
252,3
253,3
254,0
255,0
256,2
257,2
258,3
259,1
260,0
261,3
262,0
263,2
264,0
265,0
266,2
267,2
268,3
269,0
270,4
271,3
272,0
273,2
274,2
275,3
276,0
277,3
278,3
279,0
280,4
281,4
282,2
283,3
284,3
285,0
286,0
287,0
288,3
289,2
290,4
291,3
292,2
293,2
294,0
295,2
296,4
297,1
298,0
299,1
300,0
301,2
302,1
303,0
304,1
305,0
306,1
307,1
308,3
309,2
310,1
311,1
312,1
313,4
314,2
315,3
316,3
317,3
318,4
319,2
320,0
321,4
322,1
323,1
324,0
325,0
326,2
327,3
328,0
329,1
330,3
331,1
332,3
333,3
334,0
335,3
336,3
337,2
338,2
339,4
340,2
341,1
342,1
343,2
344,2
345,4
346,1
347,2
348,3
349,1
350,0
351,2
352,2
353,0
354,1
355,3
356,3
357,1
358,0
359,2
360,0
361,2
362,2
363,0
364,2
365,3
366,2
367,0
368,2
369,2
370,1
371,1
372,0
373,0
374,0
375,2
376,3
377,1
378,0
379,2
380,1
381,2
382,3
383,2
384,2
385,2
386,3
387,3
388,1
389,2
390,2
391,0
392,2
393,1
394,0
395,1
396,0
397,3
398,4
399,4
400,1
401,0
402,0
403,2
404,3
405,1
406,2
407,1
408,0
409,0
410,3
411,4
412,2
413,1
414,0
415,1
416,3
417,2
418,3
419,4
420,1
421,3
422,2
423,0
424,0
425,0
426,0
427,4
428,3
429,2
430,2
431,1
432,2
433,2
434,2
435,2
436,3
437,1
438,1
439,1
440,0
441,2
442,1
443,2
444,3
445,2
446,2
447,2
448,0
449,2
450,3
451,2
452,2
453,2
454,4
455,1
456,1
457,1
458,4
459,0
460,1
461,1
462,0
463,4
464,0
465,4
466,2
467,4
468,3
469,0
470,2
471,4
472,2
473,1
474,1
475,1
476,2
477,0
478,0
479,3
480,3
481,0
482,2
483,0
484,1
485,3
486,2
487,0
488,1
489,3
490,3
491,0
492,1
493,2
494,1
495,3
496,0
497,0
498,0
499,2
500,2
501,0
502,3
503,0
504,0
505,2
506,2
507,1
508,4
509,2
510,2
511,2
512,1
513,1
514,1
515,2
516,0
517,3
518,0
519,0
520,3
521,1
522,2
523,1
524,1
525,2
526,4
527,1
528,3
529,0
530,0
531,4
532,2
533,0
534,0
535,0
536,3
537,4
538,0
539,1
540,0
541,1
542,2
543,2
544,2
545,2
546,0
547,0
548,2
549,1
550,0
551,0
552,0
553,2
554,3
555,0
556,0
557,2
558,3
559,0
560,0
561,2
562,2
563,1
564,2
565,0
566,2
567,4
568,3
569,2
570,3
571,2
572,0
573,0
574,2
575,0
576,3
577,2
578,2
579,3
580,2
581,3
582,2
583,0
584,3
585,2
586,0
587,2
588,2
589,0
590,0
591,0
592,0
593,1
594,4
595,1
596,1
597,1
598,0
599,3
600,2
601,2
602,1
603,2
604,1
605,1
606,0
607,3
608,2
609,0
610,0
611,2
612,3
613,0
614,0
615,0
616,0
617,1
618,2
619,0
620,3
621,3
622,3
623,0
624,3
625,2
626,3
627,2
628,1
629,4
630,1
631,3
632,0
633,3
634,2
635,1
636,0
637,4
638,0
639,3
640,3
641,4
642,2
643,0
644,2
645,3
646,3
647,2
648,1
649,2
650,1
651,2
652,1
653,1
654,2
655,2
656,4
657,2
658,1
659,2
660,4
661,1
662,1
663,3
664,0
665,2
666,2
667,2
668,3
669,0
670,0
671,0
672,2
673,0
674,1
675,2
676,3
677,0
678,0
679,2
680,2
681,1
682,2
683,2
684,2
685,1
686,2
687,0
688,1
689,2
690,0
691,4
692,4
693,0
